75,WTA Miami WD - Round 1 Matches,Fri 25 Mar,LIVE,"Fernandez/Neel
Flipkens/Mirza",18/1,1/50,2022-03-25 16:02:25.086587
76,WTA Miami WD - Round 1 Matches,Fri 25 Mar,19:30,"Begu/Niculescu
Rosolska/Routliffe",2/5,7/4,2022-03-25 16:02:25.103301
77,WTA Miami WD - Round 1 Matches,Fri 25 Mar,21:00,"Panova/Rodionova
Siniakova/Sanders",7/1,1/12,2022-03-25 16:02:25.119531
78,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Badosa/Sabalenka
Danilina/Haddad Maia",1/1,8/11,2022-03-25 16:02:25.134866
79,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Bencic/Konjuh
Kalinina/Rybakina",5/6,5/6,2022-03-25 16:02:25.160817
80,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Cornet/Teichmann
Schreiber/Klepac",5/4,4/7,2022-03-25 16:02:25.190222
81,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Dabrowski/Olmos
Marozava/Santamaria",1/5,10/3,2022-03-25 16:02:25.208314
82,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Guarachi/Yifan Xu
Kichenok/Olaru",4/6,11/10,2022-03-25 16:02:25.225996
83,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Krueger/Montgomery
Stosur/Zhang",9/2,1/7,2022-03-25 16:02:25.244004
84,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Kudermetova/Mertens
Paolini/Zidansek",1/6,4/1,2022-03-25 16:02:25.259510
85,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Muhammad/Shibahara
Bouzkova/Hradecka",8/13,6/5,2022-03-25 16:02:25.274272
86,WTA Miami WD - Round 1 Matches,Sat 26 Mar,12:00,"Siegemund/Zvonareva
Dzalamidze/Eikeri",1/5,10/3,2022-03-25 16:02:25.290536
87,Challenger Santa Cruz MD - Quarter Final Matches,Fri 25 Mar,Play Suspended,"Duran/Romboli
Casanova/R Taverna",4/1,1/6,2022-03-25 16:02:25.601123
88,Challenger Santa Cruz MD - Quarter Final Matches,Fri 25 Mar,Play Suspended,"Barrientos/Reyes-Varela
Dellien/P Angelo",1/50,18/1,2022-03-25 16:02:25.617148
0,ATP Miami - Round 2 Matches,Fri 25 Mar,LIVE,"Taro Daniel
Fabio Fognini",1/6,4/1,2022-03-25 16:16:17.499067
1,ATP Miami - Round 2 Matches,Fri 25 Mar,LIVE,"Juan Manuel Cerundolo
Kevin Anderson",13/8,1/2,2022-03-25 16:16:17.514711
2,ATP Miami - Round 2 Matches,Fri 25 Mar,16:30,"John Isner
Hugo Gaston",2/7,11/4,2022-03-25 16:16:17.530032
3,ATP Miami - Round 2 Matches,Fri 25 Mar,16:30,"Pablo Carreno-Busta
David Goffin",4/9,7/4,2022-03-25 16:16:17.545278
4,ATP Miami - Round 2 Matches,Fri 25 Mar,17:30,"Borna Coric
Alexander Zverev",9/2,1/7,2022-03-25 16:16:17.560776
5,ATP Miami - Round 2 Matches,Fri 25 Mar,18:00,"Diego Schwartzman
Thanasi Kokkinakis",8/11,11/10,2022-03-25 16:16:17.577061
6,ATP Miami - Round 2 Matches,Fri 25 Mar,18:00,"Emil Ruusuvuori
Jannik Sinner",7/4,4/9,2022-03-25 16:16:17.592537
7,ATP Miami - Round 2 Matches,Fri 25 Mar,19:00,"Andrey Rublev
Nick Kyrgios",4/7,11/8,2022-03-25 16:16:17.607640
8,ATP Miami - Round 2 Matches,Fri 25 Mar,19:30,"Denis Kudla
Lorenzo Sonego",13/8,1/2,2022-03-25 16:16:17.622848
9,ATP Miami - Round 2 Matches,Fri 25 Mar,19:30,"Reilly Opelka
Francisco Cerundolo",1/6,4/1,2022-03-25 16:16:17.637730
10,ATP Miami - Round 2 Matches,Fri 25 Mar,21:00,"Casper Ruud
Henri Laaksonen",1/7,9/2,2022-03-25 16:16:17.652810
11,ATP Miami - Round 2 Matches,Fri 25 Mar,21:00,"Daniel Elahi Galan
Alexander Bublik",7/4,4/9,2022-03-25 16:16:17.668474
12,ATP Miami - Round 2 Matches,Fri 25 Mar,21:00,"Oscar Otte
Gael Monfils",11/4,2/7,2022-03-25 16:16:17.685231
13,ATP Miami - Round 2 Matches,Fri 25 Mar,23:00,"Grigor Dimitrov
Mackenzie McDonald",4/7,11/8,2022-03-25 16:16:17.701534
14,ATP Miami - Round 2 Matches,Sat 26 Mar,00:30,"Frances Tiafoe
Brandon Nakashima",1/1,4/5,2022-03-25 16:16:17.717342
15,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Albert Ramos-Vinolas
Sebastian Korda",7/2,1/5,2022-03-25 16:16:17.734970
16,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Arthur Rinderknech
Hubert Hurkacz",11/4,2/7,2022-03-25 16:16:17.755131
17,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Aslan Karatsev
Ugo Humbert",8/11,11/10,2022-03-25 16:16:17.771852
18,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Daniil Medvedev
Andy Murray",1/8,5/1,2022-03-25 16:16:17.787856
19,ATP Miami - Round 2 Matches,Sat 26 Mar,15:00,"Denis Shapovalov
Lloyd Harris",1/2,13/8,2022-03-25 16:16:17.803620
